,age,ast_per_g,award_share,blk_per_g,fg3_pct,fg_pct,ft_pct,g,link,mp_per_g,player,points_max,points_won,pts_per_g,stl_per_g,team_id,trb_per_g,votes_first,ws,ws_per_48
0,23,4.5,0.955,0.6,.406,.474,.836,82,/players/b/birdla01.html,36.0,Larry Bird,66,63.0,21.3,1.7,BOS,10.4,63.0,11.2,.182
1,20,7.3,0.045,0.5,.226,.530,.810,77,/players/j/johnsma02.html,36.3,Magic Johnson,66,3.0,18.0,2.4,LAL,7.7,3.0,10.5,.180
2,22,2.4,0.275,0.5,.192,.464,.716,81,/players/g/griffda01.html,35.4,Darrell Griffith,69,19.0,20.6,1.3,UTA,3.6,19.0,0.4,.006
3,22,6.9,0.261,0.1,.097,.452,.749,80,/players/r/ranseke01.html,30.4,Kelvin Ransey,69,18.0,15.2,1.1,POR,2.4,18.0,2.8,.056
4,23,1.1,0.203,0.8,,.512,.588,82,/players/s/smithla01.html,31.4,Larry Smith,69,14.0,9.6,0.9,GSW,12.1,14.0,6.1,.113
5,23,0.7,0.159,1.8,.000,.533,.679,82,/players/m/mchalke01.html,20.1,Kevin McHale,69,11.0,10.0,0.3,BOS,4.4,11.0,4.7,.137
6,22,1.4,0.043,1.5,.000,.491,.716,82,/players/c/carrojo01.html,35.6,Joe Barry Carroll,69,3.0,18.9,0.6,GSW,9.3,3.0,5.7,.094
7,22,2.5,0.029,0.4,.000,.479,.706,82,/players/b/brookmi01.html,30.2,Michael Brooks,69,2.0,14.7,1.2,SDC,5.4,2.0,4.9,.095
8,22,3.2,0.014,0.3,.278,.486,.637,79,/players/o/okoremi01.html,31.3,Mike O'Koren,69,1.0,11.0,1.1,NJN,6.1,1.0,3.8,.075
9,23,3.6,0.014,0.1,.310,.495,.712,75,/players/t/toneyan01.html,23.6,Andrew Toney,69,1.0,12.9,0.8,PHI,1.9,1.0,2.2,.061
10,21,1.3,0.478,1.0,.000,.582,.624,82,/players/w/willibu01.html,34.5,Buck Williams,69,33.0,15.5,1.0,NJN,12.3,33.0,8.9,.152
11,22,3.3,0.319,0.2,.227,.496,.797,82,/players/t/tripuke01.html,37.5,Kelly Tripucka,69,22.0,21.6,1.1,DET,5.4,22.0,7.5,.117
